Departamento,Dep,Municipio,Depmun,Superficie,Poblacion,Irural,Region
Antioquia,5,Medellín,5001,374.8306,2483545,5,Región Eje Cafetero
Antioquia,5,Abejorral,5002,507.1341,20258,45,Región Eje Cafetero
Antioquia,5,Abriaquí,5004,296.956,2710,58,Región Eje Cafetero
Antioquia,5,Alejandría,5021,128.9322,4669,48,Región Eje Cafetero
Antioquia,5,Amagá,5030,84.1325,30777,28,Región Eje Cafetero
Antioquia,5,Amalfi,5031,1209.1269,26552,54,Región Eje Cafetero
Antioquia,5,Andes,5034,402.5026,43713,38,Región Eje Cafetero
Antioquia,5,Angelópolis,5036,81.8763,5790,37,Región Eje Cafetero
Antioquia,5,Angostura,5038,338.6665,11462,47,Región Eje Cafetero
Antioquia,5,Anorí,5040,1413.7739,18737,58,Región Eje Cafetero
Antioquia,5,Santafé de Antioquia,5042,525.6014,26598,45,Región Eje Cafetero
Antioquia,5,Anza,5044,255.9233,7085,48,Región Eje Cafetero
Antioquia,5,Apartadó,5045,535.1724,124647,34,Región Eje Cafetero
Antioquia,5,Arboletes,5051,754.2519,29942,48,Región Eje Cafetero
Antioquia,5,Argelia,5055,245.3418,7577,46,Región Eje Cafetero
Antioquia,5,Armenia,5059,110.435,5085,43,Región Eje Cafetero
Antioquia,5,Barbosa,5079,205.6662,53242,32,Región Eje Cafetero
Antioquia,5,Belmira,5086,296.1532,6054,51,Región Eje Cafetero
Antioquia,5,Bello,5088,147.7584,538527,12,Región Eje Cafetero
Antioquia,5,Betania,5091,180.526,10274,42,Región Eje Cafetero
Antioquia,5,Betulia,5093,262.3675,15736,42,Región Eje Cafetero
Antioquia,5,Ciudad Bolívar,5101,260.4461,26160,38,Región Eje Cafetero
Antioquia,5,Briceño,5107,376.3468,8065,52,Región Eje Cafetero
Antioquia,5,Buriticá,5113,355.2103,9502,52,Región Eje Cafetero
Antioquia,5,Cáceres,5120,1873.8028,29716,56,Región Eje Cafetero
Antioquia,5,Caicedo,5125,200.1299,8420,46,Región Eje Cafetero
Antioquia,5,Caldas,5129,132.7559,81658,24,Región Eje Cafetero
Antioquia,5,Campamento,5134,206.3433,9202,46,Región Eje Cafetero
Antioquia,5,Cañasgordas,5138,364.8312,15490,46,Región Eje Cafetero
Antioquia,5,Caracolí,5142,262.7988,4537,53,Región Eje Cafetero
Antioquia,5,Caramanta,5145,92.0578,4670,42,Región Eje Cafetero
Antioquia,5,Carepa,5147,387.2706,49659,40,Región Eje Cafetero
Antioquia,5,El   Carmen   de   Viboral,5148,423.6452,61122,38,Región Eje Cafetero
Antioquia,5,Carolina,5150,149.5808,3954,51,Región Eje Cafetero
Antioquia,5,Caucasia,5154,1429.122,93044,45,Región Eje Cafetero
Antioquia,5,Chigorodó,5172,721.6826,58684,43,Región Eje Cafetero
Antioquia,5,Cisneros,5190,46.9347,9844,34,Región Eje Cafetero
Antioquia,5,Cocorná,5197,241.7647,15042,41,Región Eje Cafetero
Antioquia,5,Concepción,5206,202.0545,4760,49,Región Eje Cafetero
Antioquia,5,Concordia,5209,247.8804,21504,39,Región Eje Cafetero
Antioquia,5,Copacabana,5212,67.7607,80000,20,Región Eje Cafetero
Antioquia,5,Dabeiba,5234,1957.2627,23255,57,Región Eje Cafetero
Antioquia,5,Don   Matías,5237,203.3323,19332,39,Región Eje Cafetero
Antioquia,5,Ebéjico,5240,237.7794,12108,42,Región Eje Cafetero
Antioquia,5,El Bagre,5250,1560.2489,52925,51,Región Eje Cafetero
Antioquia,5,Entrerrios,5264,214.1959,11465,46,Región Eje Cafetero
Antioquia,5,Envigado,5266,77.9967,236114,8,Región Eje Cafetero
